year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2015,2041.0,2041.000001,0.0,10.77231438,10.77231438,0.0,204.3919581,204.3919581,0.0,1615.1,1615.100001,0.0,3.910218705,3.910218705,0.0,66.15519901,66.15519901,0.0,388.4,388.40000019999997,0.0,0.93957721,0.93957721,0.0,11.89706139,11.89706139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2101.2,2028.8856420000002,72.31,11.088094413658963,10.708339599999999,0.3797548136589647,197.49237396829483,195.59359990000002,1.898774068294823,1682.1,1598.42009,83.68,4.066612205053828,3.870376494,0.19623571105382856,64.35142782526914,63.37024927,0.9811785552691431,390.1,378.2812586,11.82,0.9437928566282244,0.9157759329999999,0.02801692362822455,11.556980188141122,11.41689557,0.14008461814112277,0.0,0.0,0.0,72.31,0.3797548136589647,0.3797548136589647,0.0,0.0,0.0,83.68,0.19623571105382856,0.19623571105382856,0.0,0.0,0.0,11.82,0.02801692362822455,0.02801692362822455
2017,2149.3,1993.971395,83.01,11.325704396429407,10.51000093,0.4359486527704419,191.3243131332101,186.8573165,2.615691916622651,1743.3,1567.818652,91.8,4.207899116101887,3.796385701,0.21527770404805757,62.858099035675764,60.60978372,1.2916662242883459,384.1,372.4131021,0.0,0.9296117196282244,0.9015947959999999,0.0,11.097113532687596,10.96053103,0.0,0.0,0.0,0.0,83.01,0.4359486527704419,0.4359486527704419,0.0,0.0,0.0,91.8,0.21527770404805757,0.21527770404805757,0.0,0.0,0.0,0.0,0.0,0.0
2018,2167.0,1984.443413,27.23,11.41831552932712,10.45960662,0.14300544289771275,183.67612828387115,178.3209552,1.0010381002839892,1768.8,1554.2028289999998,39.12,4.267023523990339,3.763770852,0.0917392568884533,60.756977964406,57.92330897,0.6421747982191733,380.7,366.7679564,2.25,0.9213293013696379,0.887979207,0.005333170741413302,10.68876021242396,10.51834763,0.03733219518989312,0.0,0.0,0.0,27.23,0.14300544289771275,0.14300544289771275,0.0,0.0,0.0,39.12,0.0917392568884533,0.0917392568884533,0.0,0.0,0.0,2.25,0.005333170741413302,0.005333170741413302
2019,2171.5,1961.051862,27.89,11.437657954263484,10.33247744,0.1464716049363646,176.22404642123203,169.8349881,1.1717728394909168,1772.6,1533.713587,24.29,4.2758048528610075,3.715590357,0.05696182387066796,58.48593715592692,55.26944906,0.4556945909653437,380.4,362.2334043,4.23,0.9206531333634949,0.877276678,0.010026360993857009,10.33596786004154,10.08977981,0.08021088795085607,0.0,0.0,0.0,27.89,0.1464716049363646,0.1464716049363646,0.0,0.0,0.0,24.29,0.05696182387066796,0.05696182387066796,0.0,0.0,0.0,4.23,0.010026360993857009,0.010026360993857009
2020,2173.7,1918.659585,44.59,11.40237035229907,10.06301383,0.23417600803558616,169.524658170435,161.1951977,2.1075840723202752,1763.4,1521.865779,2.65,4.2516552573874495,3.6852263180000002,0.00621444352644175,55.71538660344635,52.52723637,0.05592999173797576,376.5,359.4814515,0.0,0.9133864723634949,0.870010017,0.0,9.899468406509493,9.659721049,0.0,0.0,0.0,0.0,44.59,0.23417600803558616,0.23417600803558616,0.0,0.0,0.0,2.65,0.00621444352644175,0.00621444352644175,0.0,0.0,0.0,0.0,0.0,0.0
2021,2171.2,1889.382093,26.78,11.388029562897701,9.90803089,0.14064215059863192,162.23857835149602,152.7225679,1.406421505986319,1757.8,1491.647528,24.62,4.236337658357637,3.6121730210000003,0.05773569797018713,53.50831521913622,49.82847411,0.5773569797018715,370.9,356.4856736,0.0,0.9059284683634948,0.862552013,0.0,9.590163971977447,9.356857307,0.0,0.0,0.0,0.0,26.78,0.14064215059863192,0.14064215059863192,0.0,0.0,0.0,24.62,0.05773569797018713,0.05773569797018713,0.0,0.0,0.0,0.0,0.0,0.0
2022,2182.4,1844.3224239999997,56.26,11.42171334488945,9.646250617,0.2954640549917487,156.88448189383027,144.3733989,3.2501046049092355,1755.7,1475.074684,14.47,4.2282989020850374,3.5702010580000003,0.0339332067274008,51.17587830463308,47.22287195,0.3732652740014089,361.2,349.737368,0.0,0.8898088373634949,0.846432382,0.0,9.1405097514454,8.913643779,0.0,0.0,0.0,0.0,56.26,0.2954640549917487,0.2954640549917487,0.0,0.0,0.0,14.47,0.0339332067274008,0.0339332067274008,0.0,0.0,0.0,0.0,0.0,0.0
2023,2189.7,1770.451718,81.17,11.417236116036985,9.215487975,0.4262854131475337,153.53349937390297,136.2432761,5.115424957770403,1758.5,1423.5289699999998,54.35,4.230557594202814,3.4450050310000004,0.12745471911777703,50.01606578369183,44.64303446,1.5294566294133247,355.2,343.5317219,0.21,0.8742102309660267,0.8303360129999999,0.0004977626025319082,8.724476574143734,8.498078142999999,0.005973151230382898,0.0,0.0,0.0,81.17,0.4262854131475337,0.4262854131475337,0.0,0.0,0.0,54.35,0.12745471911777703,0.12745471911777703,0.0,0.0,0.0,0.21,0.0004977626025319082,0.0004977626025319082
2024,2184.7,1750.7734039999998,14.68,11.382868968593666,9.104024981,0.07709584655668097,146.39316607749782,128.5648671,1.0022460052368525,1761.2,1390.815776,35.41,4.228310268154249,3.359718669,0.08303903595143484,48.43530771497056,42.130437,1.0795074673686529,349.1,330.24920110000005,7.18,0.8597694063764034,0.798876448,0.01701874041037667,8.503027463165827,8.061975428,0.22124362533489675,0.0,0.0,0.0,14.68,0.07709584655668097,0.07709584655668097,0.0,0.0,0.0,35.41,0.08303903595143484,0.08303903595143484,0.0,0.0,0.0,7.18,0.01701874041037667,0.01701874041037667
2025,2174.6,1732.080785,8.59,11.318178749702785,8.994222138,0.04511262410912054,138.93614056325265,120.9654913,0.6315767375276876,1764.8,1363.59681,30.82,4.234863724903281,3.293996975,0.07227515074903197,46.783833532682884,39.64176647,1.011852110486448,345.9,323.5990202,3.45,0.8517522018465704,0.782681715,0.008177528470167063,8.198263412801987,7.654847091000001,0.11448539858233892,0.0,0.0,0.0,8.59,0.04511262410912054,0.04511262410912054,0.0,0.0,0.0,30.82,0.07227515074903197,0.07227515074903197,0.0,0.0,0.0,3.45,0.008177528470167063,0.008177528470167063
2026,2164.6,1695.4271469999999,26.65,11.230463523415018,8.76654749,0.13995942171223077,132.87557141872503,113.31054669999999,2.0993913256834613,1777.8,1342.3158349999999,34.28,4.262916391332119,3.241660538,0.08038910342883895,45.39019261857917,37.24224107,1.2058365514325844,343.6,323.3016725,0.0,0.8498762818465705,0.780805795,0.0,7.81737557189125,7.288942497000001,0.0,0.0,0.0,0.0,26.65,0.13995942171223077,0.13995942171223077,0.0,0.0,0.0,34.28,0.08038910342883895,0.08038910342883895,0.0,0.0,0.0,0.0,0.0,0.0
2027,2158.8,1672.8199789999999,16.81,11.181539069187348,8.629340939,0.08828209677233019,126.29583241372913,105.87579479999998,1.412513548357283,1791.5,1323.0198269999999,33.0,4.2925229302840355,3.193879667,0.07738740995191613,44.03933279848772,34.88328067,1.2381985592306581,338.5,314.9685038,3.23,0.8377019167331328,0.760975367,0.007656062886562207,7.483811742165507,6.847864907999999,0.12249700618499532,0.0,0.0,0.0,16.81,0.08828209677233019,0.08828209677233019,0.0,0.0,0.0,33.0,0.07738740995191613,0.07738740995191613,0.0,0.0,0.0,3.23,0.007656062886562207,0.007656062886562207
2028,2154.6,1639.479408,29.14,11.145173754954492,8.439939319,0.15303630576714466,121.03604458970851,98.60720327,2.6016171980414593,1808.0,1291.451968,48.07,4.32735957678066,3.115988653,0.1127276604966245,43.345011563627466,32.53364215,1.916370228442617,334.1,309.0527717,1.52,0.8272327618562209,0.746903359,0.003602853123088098,7.107964359192643,6.428814694,0.061248503092497665,0.0,0.0,0.0,29.140000000000004,0.15303630576714466,0.15303630576714466,0.0,0.0,0.0,48.07,0.1127276604966245,0.1127276604966245,0.0,0.0,0.0,1.52,0.003602853123088098,0.003602853123088098
